education_level,interest_tech,interest_commerce,interest_arts,career_preference_private,difficulty_tolerance,risk_tolerance,option_type,option_difficulty,option_job_type,recommendation_score
3,0,1,0,0,3,1,2,2,0,59
1,0,1,0,1,3,2,1,3,0,62
7,0,1,0,0,3,1,1,3,0,59
1,0,0,1,0,2,1,3,3,0,42
4,0,1,0,0,2,2,3,3,0,67
6,0,0,1,1,1,3,1,3,0,57
3,0,1,0,1,3,2,3,2,1,90
7,1,0,0,0,3,3,2,3,0,68
4,1,0,0,1,3,2,2,2,0,64
2,1,0,0,1,1,3,3,1,1,61
3,0,0,1,1,3,2,1,2,0,79
6,0,1,0,1,3,1,2,1,0,55
2,0,1,0,1,1,2,3,1,1,87
2,0,0,1,1,2,1,2,3,0,37
5,0,1,0,0,2,2,2,3,0,40
6,0,1,0,1,1,1,1,1,0,58
7,0,1,0,1,3,1,3,3,1,84
5,1,0,0,1,1,1,1,3,0,59
1,0,1,0,1,1,2,1,1,0,70
1,1,0,0,0,3,1,1,1,0,79
7,0,1,0,1,2,1,3,1,1,76
5,1,0,0,0,2,2,1,1,0,86
4,0,1,0,1,2,1,3,2,1,81
7,0,1,0,1,3,3,2,3,0,62
6,0,0,1,1,2,3,3,1,1,63
3,1,0,0,0,2,2,3,1,0,70
6,0,1,0,1,1,2,3,1,1,87
1,1,0,0,1,2,1,2,1,0,56
1,1,0,0,0,1,2,1,3,0,61
1,0,1,0,0,3,3,2,1,0,61
4,0,1,0,1,2,3,1,2,0,69
2,0,1,0,1,3,3,2,2,0,65
7,0,0,1,1,3,3,2,2,0,63
2,0,0,1,0,2,3,2,2,0,63
4,0,0,1,1,2,1,1,2,0,77
4,0,0,1,1,3,3,2,2,0,69
6,0,1,0,0,1,1,1,1,0,58
6,0,1,0,0,3,3,1,3,0,60
1,1,0,0,0,2,3,3,2,0,67
5,0,1,0,1,2,2,2,2,0,63
6,1,0,0,0,2,2,3,2,0,63
6,0,0,1,1,1,1,2,2,0,37
3,0,1,0,1,2,2,2,1,0,62
4,1,0,0,0,1,2,3,1,0,64
3,0,1,0,0,1,2,2,3,0,46
3,0,1,0,1,1,1,2,2,0,44
4,1,0,0,0,2,3,1,1,0,84
7,0,1,0,0,1,1,1,2,0,44
7,0,1,0,0,2,3,1,1,0,65
3,0,0,1,0,2,1,2,3,0,38
7,0,1,0,0,3,3,2,1,0,61
2,0,0,1,0,1,1,2,2,0,45
4,0,1,0,1,3,3,1,2,0,61
4,0,0,1,0,2,2,3,3,0,42
7,1,0,0,1,3,2,3,2,1,65
1,0,1,0,0,3,1,1,1,0,58
2,0,0,1,1,2,2,2,1,0,66
6,0,0,1,1,3,3,2,3,0,61
7,0,1,0,1,3,2,2,2,0,61
3,0,1,0,1,2,3,3,2,1,90
4,1,0,0,0,2,2,3,3,0,49
7,1,0,0,1,1,2,2,3,0,44
2,0,0,1,0,2,3,2,2,0,70
7,1,0,0,0,1,1,2,1,0,58
2,1,0,0,1,3,3,2,1,0,65
7,0,1,0,1,2,1,2,1,0,60
7,0,0,1,1,2,3,2,3,0,49
1,0,1,0,0,1,1,2,3,0,39
4,0,1,0,1,3,2,2,1,0,69
3,1,0,0,1,2,2,3,2,1,67
6,0,1,0,0,2,3,1,3,0,47
6,0,0,1,1,3,3,2,2,0,62
1,0,0,1,0,3,3,2,3,0,65
1,0,1,0,0,3,1,3,2,0,81
2,0,1,0,1,2,2,3,1,1,83
7,0,1,0,1,1,1,2,1,0,61
5,1,0,0,0,2,2,3,3,0,50
3,1,0,0,0,3,2,1,1,0,80
3,0,0,1,0,2,3,3,1,0,70
3,0,1,0,1,2,2,3,3,1,67
2,1,0,0,0,2,2,1,1,0,82
7,0,1,0,0,1,2,1,2,0,41
1,1,0,0,0,2,3,3,2,0,70
1,0,1,0,1,2,1,1,2,0,65
1,0,1,0,0,1,2,3,2,0,62
5,0,0,1,1,1,3,3,3,1,49
3,1,0,0,0,3,1,1,3,0,78
3,0,0,1,0,3,2,2,1,0,63
6,0,1,0,1,1,2,3,1,1,87
3,0,1,0,1,3,3,3,3,1,83
4,0,0,1,1,3,1,3,3,1,55
1,0,1,0,0,1,2,1,3,0,43
6,1,0,0,0,1,1,2,1,0,55
1,0,1,0,0,1,2,3,1,0,86
3,0,1,0,1,1,3,2,3,0,42
1,0,1,0,1,2,2,3,3,1,64
1,1,0,0,0,1,1,1,1,0,77
6,1,0,0,1,3,1,3,2,1,57
6,1,0,0,1,1,3,2,1,0,60
1,0,0,1,1,1,1,2,3,0,42
6,1,0,0,1,2,2,2,3,0,44
2,0,0,1,0,2,3,3,1,0,70
7,0,0,1,0,2,2,2,1,0,60
4,1,0,0,0,3,1,1,1,0,81
3,0,0,1,1,3,3,2,1,0,70
6,1,0,0,0,1,3,1,1,0,80
1,1,0,0,1,1,3,1,2,0,70
4,1,0,0,1,3,2,2,3,0,66
5,0,1,0,0,2,3,2,3,0,43
2,0,0,1,0,2,3,1,3,0,57
2,1,0,0,0,2,2,3,1,0,65
6,1,0,0,0,1,1,2,2,0,42
2,0,1,0,1,1,3,3,1,1,86
1,0,1,0,0,3,3,1,3,0,67
7,0,1,0,1,3,3,2,3,0,64
1,0,0,1,0,2,3,2,1,0,60
3,0,0,1,0,2,2,1,3,0,63
4,0,0,1,0,1,2,3,2,0,42
3,0,1,0,0,3,2,1,3,0,61
1,0,0,1,0,3,2,3,3,0,70
2,1,0,0,1,3,1,2,1,0,57
7,1,0,0,1,1,1,3,2,1,38
5,1,0,0,1,2,3,3,1,1,61
1,1,0,0,1,1,1,3,2,1,36
2,0,1,0,1,3,3,2,1,0,67
6,1,0,0,1,1,1,1,3,0,58
7,0,1,0,1,2,2,3,3,1,63
3,0,0,1,1,2,1,3,1,1,61
5,1,0,0,1,2,3,2,1,0,70
6,0,1,0,0,1,2,2,3,0,47
6,0,0,1,1,2,2,2,1,0,65
7,0,0,1,0,3,1,3,3,0,61
7,0,0,1,1,3,1,2,2,0,63
5,0,0,1,0,3,2,2,3,0,62
7,0,1,0,0,3,1,2,3,0,61
6,1,0,0,1,1,2,2,2,0,44
4,1,0,0,0,1,1,3,1,0,65
5,0,0,1,0,1,2,1,1,0,81
7,1,0,0,1,3,3,3,3,1,69
6,0,1,0,0,1,2,3,2,0,68
7,0,1,0,1,3,1,2,2,0,63
4,1,0,0,1,2,1,3,2,1,59
1,0,0,1,0,2,3,1,3,0,56
1,1,0,0,0,2,1,3,2,0,58
7,0,0,1,1,1,3,2,2,0,48
3,0,1,0,0,2,1,1,2,0,57
6,1,0,0,1,2,2,3,3,1,45
5,1,0,0,0,1,2,2,1,0,61
1,0,1,0,0,3,3,2,3,0,65
7,0,0,1,1,3,1,1,1,0,72
7,0,1,0,0,3,3,2,2,0,60
1,1,0,0,1,2,3,1,1,0,87
2,0,1,0,1,2,2,3,1,1,84
5,1,0,0,0,1,3,1,2,0,65
6,0,1,0,1,3,2,3,1,1,87
4,0,0,1,1,3,2,3,2,1,63
6,0,1,0,1,2,2,2,2,0,60
3,0,1,0,1,3,2,3,1,1,81
7,1,0,0,1,2,2,2,2,0,68
3,0,1,0,0,1,2,1,1,0,68
7,0,0,1,1,3,1,1,2,0,77
6,0,1,0,0,1,1,2,3,0,38
6,1,0,0,0,3,3,1,2,0,81
2,0,1,0,1,3,2,3,3,1,81
6,0,1,0,1,3,2,2,1,0,66
7,0,0,1,1,1,1,3,1,1,58
2,1,0,0,1,3,2,1,1,0,88
1,0,1,0,1,2,2,3,3,1,62
1,0,1,0,0,2,1,1,1,0,59
6,0,1,0,1,3,3,2,1,0,69
5,0,0,1,0,2,2,1,2,0,75
1,0,1,0,1,2,2,2,1,0,66
4,0,0,1,1,1,3,1,2,0,62
5,0,1,0,0,1,3,1,3,0,46
6,0,0,1,1,2,3,3,1,1,70
1,0,1,0,1,2,1,3,3,1,60
7,0,1,0,0,2,3,1,2,0,69
6,1,0,0,0,3,1,1,2,0,85
1,0,0,1,0,1,1,2,3,0,38
5,0,1,0,1,1,1,1,3,0,38
4,0,0,1,0,2,1,3,1,0,56
4,0,0,1,0,1,1,2,3,0,41
6,1,0,0,0,1,1,1,2,0,60
5,1,0,0,1,1,2,1,3,0,61
4,0,1,0,1,1,2,1,1,0,69
1,1,0,0,1,3,2,1,1,0,89
1,0,1,0,0,3,1,3,3,0,79
6,0,0,1,1,2,2,3,2,1,70
4,0,1,0,0,3,1,3,1,0,83
7,1,0,0,0,2,1,3,3,0,43
1,1,0,0,1,2,2,2,3,0,47
6,0,0,1,1,1,1,2,2,0,41
7,1,0,0,0,1,3,1,2,0,66
6,0,0,1,0,2,1,1,1,0,80
6,1,0,0,0,1,3,1,1,0,83
6,1,0,0,1,2,2,1,2,0,87
5,1,0,0,0,1,2,2,3,0,44
3,0,0,1,0,2,2,1,2,0,79
3,1,0,0,1,3,1,3,2,1,56
6,1,0,0,1,3,1,1,3,0,75
7,0,1,0,0,2,2,3,2,0,82
6,0,0,1,1,3,3,3,3,1,70
1,0,1,0,1,2,1,3,1,1,80
4,0,1,0,1,1,3,3,2,1,65
5,1,0,0,1,1,1,1,2,0,65
7,0,0,1,0,3,2,1,1,0,76
6,0,1,0,0,2,3,1,2,0,69
4,0,1,0,1,1,1,1,2,0,38
6,0,0,1,1,2,2,3,2,1,68
4,1,0,0,0,2,2,3,2,0,64
5,1,0,0,0,3,1,1,1,0,84
4,1,0,0,1,2,3,2,3,0,48
5,0,1,0,0,1,1,2,1,0,63
6,0,0,1,0,3,1,3,3,0,60
4,1,0,0,0,1,3,1,3,0,67
4,1,0,0,0,3,3,1,1,0,82
6,0,0,1,0,1,3,2,2,0,44
1,0,1,0,0,1,2,2,2,0,45
2,1,0,0,0,1,2,2,3,0,40
1,1,0,0,1,3,1,1,3,0,76
1,0,1,0,0,1,1,3,1,0,85
3,1,0,0,0,3,1,1,2,0,75
3,1,0,0,1,1,3,1,2,0,66
4,1,0,0,0,3,1,3,3,0,58
4,0,1,0,1,3,3,2,3,0,61
2,0,0,1,1,1,3,3,3,1,47
7,0,1,0,0,3,1,1,2,0,58
2,0,0,1,1,3,1,1,2,0,76
7,0,1,0,1,3,2,2,2,0,62
6,1,0,0,0,1,1,2,1,0,60
4,0,1,0,0,1,3,2,2,0,48
5,0,1,0,0,1,2,1,1,0,61
1,0,0,1,1,3,1,3,3,1,62
6,0,1,0,1,3,1,2,1,0,55
3,1,0,0,0,1,3,2,3,0,42
4,0,0,1,1,2,3,2,3,0,41
6,0,1,0,1,1,2,3,2,1,68
1,1,0,0,1,2,1,1,2,0,75
7,0,0,1,1,3,3,1,2,0,82
5,0,0,1,0,3,3,1,2,0,81
6,0,1,0,1,2,1,2,1,0,63
3,1,0,0,0,2,3,1,1,0,85
4,0,0,1,1,1,2,1,2,0,58
5,1,0,0,1,3,3,2,1,0,64
6,0,1,0,1,2,2,3,3,1,64
5,1,0,0,0,3,1,1,3,0,77
7,1,0,0,0,2,2,1,1,0,80
6,1,0,0,0,3,3,1,3,0,86
5,1,0,0,1,2,3,2,1,0,60
1,0,0,1,1,2,3,1,3,0,65
5,0,0,1,0,2,1,1,2,0,70
5,0,1,0,1,2,3,1,1,0,62
2,1,0,0,0,2,1,1,1,0,81
5,0,1,0,1,1,3,2,3,0,42
5,1,0,0,1,3,2,2,3,0,61
6,0,0,1,0,1,1,2,1,0,56
7,0,0,1,1,2,1,3,1,1,60
3,0,0,1,1,3,3,2,2,0,64
5,0,1,0,0,1,3,3,3,0,64
7,1,0,0,0,1,3,2,2,0,46
6,1,0,0,0,1,1,3,1,0,57
6,1,0,0,1,3,2,1,3,0,89
6,0,0,1,1,3,1,1,2,0,75
1,0,1,0,1,3,3,1,1,0,66
3,0,1,0,1,3,1,1,3,0,58
1,0,1,0,0,2,3,2,3,0,48
5,0,0,1,1,3,2,3,1,1,62
5,0,0,1,0,3,3,3,2,0,61
2,0,1,0,1,2,1,1,3,0,39
7,0,1,0,0,1,1,1,1,0,61
7,1,0,0,1,3,3,1,2,0,87
4,1,0,0,1,3,1,1,2,0,79
4,0,0,1,0,3,1,2,2,0,64
6,0,0,1,1,3,3,2,2,0,63
4,1,0,0,0,3,2,2,3,0,64
1,0,0,1,0,2,3,3,2,0,70
4,1,0,0,0,2,2,2,1,0,65
3,0,0,1,1,1,2,3,3,1,41
1,1,0,0,0,1,1,2,3,0,37
5,1,0,0,1,2,1,3,1,1,62
5,0,1,0,1,2,1,1,3,0,45
6,0,0,1,1,2,3,2,3,0,48
5,0,0,1,0,1,2,3,2,0,47
7,0,1,0,1,1,2,2,1,0,65
7,1,0,0,0,1,1,1,1,0,82
1,0,0,1,0,1,1,1,3,0,56
1,0,1,0,0,3,3,1,2,0,68
5,1,0,0,1,1,2,2,2,0,45
6,0,1,0,0,1,3,2,3,0,43
1,1,0,0,0,3,3,2,3,0,63
1,0,1,0,1,1,3,1,2,0,47
7,0,0,1,0,2,2,3,1,0,62
6,1,0,0,1,2,2,3,2,1,68
5,0,1,0,1,1,1,2,3,0,37
5,0,0,1,0,3,3,2,1,0,63
4,0,0,1,1,1,1,3,2,1,42
7,1,0,0,0,3,1,3,1,0,60
7,1,0,0,0,2,1,1,2,0,82
3,1,0,0,0,3,2,3,2,0,66
6,0,1,0,1,1,3,2,3,0,46
2,0,0,1,1,1,3,2,2,0,43
1,1,0,0,1,3,3,1,2,0,80
4,0,1,0,0,2,2,1,1,0,64
5,1,0,0,1,3,1,3,3,1,62
3,0,0,1,0,1,1,1,2,0,52
6,0,1,0,0,2,3,2,3,0,48
3,1,0,0,1,3,1,1,1,0,76
3,0,0,1,0,1,2,1,2,0,58
2,0,1,0,0,2,3,2,3,0,50
1,1,0,0,0,1,1,2,1,0,63
6,0,0,1,1,2,3,1,2,0,76
4,1,0,0,1,1,3,2,1,0,66
3,0,1,0,0,2,2,2,2,0,64
3,0,1,0,0,1,2,2,3,0,40
4,0,0,1,1,2,1,3,2,1,59
5,0,1,0,1,3,3,1,2,0,65
2,0,0,1,1,2,3,2,1,0,66
6,0,0,1,0,2,3,2,2,0,70
3,0,0,1,1,1,2,3,1,1,70
5,1,0,0,1,1,1,2,1,0,59
5,0,0,1,1,1,2,3,1,1,64
6,1,0,0,0,2,3,1,1,0,88
4,0,1,0,1,2,1,3,3,1,65
5,1,0,0,0,3,2,2,3,0,62
5,1,0,0,1,3,1,2,2,0,61
1,0,1,0,1,2,2,2,2,0,66
3,0,1,0,0,3,2,2,2,0,66
6,1,0,0,1,3,3,3,1,1,68
3,0,1,0,1,2,2,1,3,0,44
2,0,0,1,0,3,3,2,2,0,62
1,1,0,0,1,1,3,3,3,1,49
4,0,0,1,1,2,2,2,1,0,62
2,0,1,0,1,1,2,2,3,0,43
3,0,0,1,1,1,2,1,1,0,75
4,0,1,0,0,1,2,1,2,0,50
5,0,0,1,0,3,1,3,1,0,60
5,0,0,1,1,2,3,1,3,0,62
4,0,0,1,1,2,3,1,3,0,61
5,0,1,0,1,2,2,2,3,0,48
1,0,0,1,0,1,3,3,1,0,67
2,1,0,0,1,1,2,2,3,0,46
4,0,0,1,0,1,3,2,3,0,44
6,0,1,0,1,2,2,3,3,1,66
4,0,1,0,1,1,2,2,1,0,65
2,0,1,0,1,3,3,1,1,0,64
2,0,0,1,1,2,2,1,1,0,83
6,0,1,0,0,2,2,1,2,0,70
2,0,0,1,0,3,2,3,2,0,66
7,1,0,0,1,2,2,3,2,1,63
2,1,0,0,0,3,3,1,2,0,83
5,1,0,0,0,3,1,2,2,0,62
5,0,0,1,1,2,1,1,2,0,74
4,0,1,0,0,1,2,2,1,0,60
4,1,0,0,0,3,1,2,3,0,64
4,0,1,0,0,3,3,3,2,0,89
1,0,0,1,0,2,1,3,1,0,57
1,0,0,1,1,2,2,2,1,0,61
6,0,1,0,1,1,3,3,2,1,68
4,1,0,0,0,3,1,3,2,0,62
2,0,0,1,1,1,1,1,2,0,57
2,1,0,0,0,3,2,1,3,0,83
6,0,0,1,1,1,2,1,2,0,64
5,0,1,0,1,1,1,2,2,0,41
7,0,1,0,1,1,2,2,3,0,41
4,1,0,0,0,2,2,1,3,0,69
2,1,0,0,1,1,3,1,1,0,83
2,1,0,0,1,1,1,3,3,1,37
3,1,0,0,1,1,1,2,3,0,38
5,1,0,0,0,3,3,2,1,0,64
1,0,1,0,1,1,3,3,2,1,70
5,1,0,0,0,2,2,3,2,0,63
7,1,0,0,0,2,3,2,1,0,67
5,0,1,0,0,3,1,3,1,0,81
2,0,0,1,1,2,1,3,3,1,37
4,1,0,0,1,1,1,2,1,0,59
2,0,0,1,1,3,1,2,3,0,65
3,1,0,0,0,2,1,2,2,0,57
6,0,0,1,1,1,3,2,2,0,46
1,0,1,0,0,3,1,2,3,0,58
1,0,0,1,1,3,2,3,1,1,66
3,0,1,0,0,1,2,1,1,0,62
7,0,1,0,0,3,3,1,1,0,65
1,0,0,1,1,3,3,1,1,0,77
3,0,0,1,1,1,3,2,3,0,44
3,0,0,1,1,2,2,2,1,0,60
2,0,0,1,0,3,3,2,3,0,64
1,0,0,1,1,1,3,3,1,1,69
6,0,0,1,0,2,3,1,2,0,76
2,1,0,0,1,2,3,1,2,0,80
3,1,0,0,1,2,3,3,2,1,61
6,0,1,0,0,1,1,2,1,0,57
5,0,0,1,0,2,3,1,3,0,57
3,1,0,0,1,2,2,2,3,0,48
6,1,0,0,0,3,2,3,3,0,69
6,0,0,1,1,2,3,1,2,0,76
4,0,1,0,0,1,1,3,2,0,59
5,0,1,0,1,2,3,2,1,0,63
4,1,0,0,0,2,3,1,2,0,89
1,1,0,0,1,3,3,2,1,0,64
5,0,0,1,0,3,3,1,3,0,79
4,0,0,1,1,1,2,3,1,1,60
6,0,0,1,0,1,2,2,2,0,47
3,0,0,1,0,2,1,3,3,0,37
7,0,0,1,0,1,2,3,2,0,40
6,0,1,0,1,2,3,1,2,0,60
4,1,0,0,0,3,1,1,3,0,85
4,0,0,1,1,3,2,2,1,0,70
1,0,0,1,0,3,1,1,3,0,78
1,0,1,0,0,3,1,1,1,0,60
7,1,0,0,1,1,1,3,1,1,64
7,0,0,1,0,2,1,1,3,0,55
4,0,1,0,0,3,3,2,3,0,62
2,0,1,0,1,2,2,1,2,0,62
4,1,0,0,1,1,1,3,1,1,60
1,0,0,1,0,2,3,3,1,0,68
6,0,1,0,0,1,1,2,1,0,57
6,1,0,0,1,2,1,3,2,1,65
4,1,0,0,1,3,3,1,2,0,88
7,0,1,0,1,2,1,1,3,0,35
2,0,0,1,0,1,1,1,2,0,59
5,0,0,1,0,3,1,1,1,0,75
5,1,0,0,1,3,1,2,2,0,61
6,1,0,0,0,1,3,3,1,0,60
7,0,0,1,1,2,1,2,3,0,41
3,0,0,1,0,1,3,2,2,0,42
2,0,1,0,0,3,1,2,2,0,65
4,1,0,0,1,2,3,2,1,0,70
7,0,1,0,0,3,1,1,1,0,60
5,0,1,0,0,2,2,2,3,0,40
7,0,0,1,1,1,2,2,2,0,42
5,0,0,1,0,3,1,3,1,0,63
3,0,1,0,0,3,3,2,3,0,63
5,1,0,0,1,2,2,3,3,1,42
5,0,0,1,1,3,1,3,2,1,61
1,0,1,0,1,3,3,3,1,1,86
5,1,0,0,1,1,2,1,1,0,89
4,1,0,0,0,3,3,1,3,0,82
5,0,1,0,0,2,2,2,2,0,70
5,1,0,0,0,1,3,1,1,0,88
2,0,1,0,1,2,1,1,1,0,60
1,1,0,0,1,2,3,1,1,0,90
3,0,0,1,0,3,1,2,1,0,63
5,0,0,1,0,3,1,2,1,0,63
6,0,0,1,0,2,1,2,1,0,55
3,0,0,1,1,3,1,3,2,1,56
5,1,0,0,1,3,1,3,2,1,59
7,0,1,0,0,3,2,2,1,0,61
1,0,0,1,0,2,1,3,3,0,45
7,0,1,0,0,2,3,2,2,0,63
7,0,1,0,1,3,3,3,1,1,86
3,0,0,1,0,1,2,1,2,0,58
6,0,0,1,0,3,3,1,1,0,75
5,0,1,0,0,2,1,1,3,0,37
5,0,1,0,0,3,2,1,2,0,62
3,0,1,0,1,2,1,3,2,1,84
4,0,0,1,1,2,3,2,2,0,66
3,0,0,1,1,2,2,1,3,0,64
6,0,1,0,1,1,1,2,1,0,65
2,1,0,0,1,3,2,3,2,1,65
6,1,0,0,0,1,3,3,2,0,47
5,0,0,1,0,1,2,3,1,0,67
5,0,0,1,1,1,3,1,1,0,81
5,0,1,0,1,2,1,1,2,0,63
6,1,0,0,0,1,2,3,1,0,67
1,1,0,0,0,1,2,3,2,0,43
2,0,1,0,0,3,2,3,3,0,84
3,1,0,0,0,1,3,1,1,0,90
6,1,0,0,0,2,3,3,2,0,63
3,0,0,1,1,1,1,2,2,0,35
5,0,1,0,0,3,3,1,1,0,60
6,0,0,1,1,2,3,2,3,0,47
4,0,1,0,0,3,1,2,1,0,57
6,0,1,0,1,3,2,1,2,0,63
4,0,0,1,1,2,2,1,3,0,65
3,0,1,0,1,3,2,1,1,0,65
5,0,0,1,1,3,2,3,3,1,68
2,1,0,0,0,1,2,1,1,0,82
4,0,1,0,0,3,2,1,3,0,60
3,0,1,0,1,3,3,2,2,0,69
3,0,1,0,0,3,2,3,2,0,81
6,0,0,1,1,3,1,3,3,1,61
5,1,0,0,1,1,3,3,2,1,44
7,0,1,0,1,2,1,3,3,1,62
5,0,0,1,0,1,1,3,2,0,43
6,0,1,0,0,3,3,2,3,0,65
5,1,0,0,0,2,1,2,3,0,40
2,0,0,1,0,1,1,2,2,0,43
4,1,0,0,0,2,2,1,3,0,61
5,1,0,0,1,2,2,3,2,1,67
5,0,0,1,0,3,3,1,3,0,75
2,0,0,1,0,3,2,1,1,0,83
6,0,0,1,0,1,1,3,2,0,41
4,0,1,0,0,3,1,1,1,0,56
4,1,0,0,0,3,3,3,2,0,63
3,1,0,0,0,2,1,2,3,0,41
5,0,1,0,1,2,3,1,1,0,63
5,1,0,0,0,2,1,1,1,0,81
6,0,1,0,0,1,2,2,3,0,46
6,1,0,0,0,2,2,2,3,0,50
6,0,1,0,0,2,3,1,1,0,70
